Donors
4200
305
385
774
723
375
421
773
438
296
830
397
534
391
851
514
298
322
353
436
202
240
2100
3100
946
541
376
456
165
227
591
292
277
647
778
1100
183
287
261
297
138
3300
695
341
425
133
176
177
228
240
0
2700
357
297
203
249
2400
153
211
281
5100
306
166
499
279
154
367
177
181
1600
146
171
0
149
171
115
128
778
229
159
136
2100
87
207
321
225
207
157
816
230
306
101
194
153
730
174
156
785
100
138
149
288
161
0
317
286
207
175
154
308
197
104
218
318
327
91
2000
180
181
244
271
81
134
365
520
129
416
99
3200
549
131
86
543
402
660
160
265
223
145
106
98
239
0
0
257
154
125
152
124
91
91
122
245
139
183
255
306
253
84
196
110
182
199
201
1900
67
196
227
188
96
196
275
283
324
142
456
114
115
167
243
704
203
492
402
409
105
803
215
127
2900
418
161
246
110
250
112
137
141
108
823
246
86
156
157
103
261
174
173
107
519
77
122
98
81
964
263
187
183
114
83
204
97
138
192
853
56
184
85
134
120
340
104
174
250
92
144
1100
115
90
100
634
4100
15600
2900
975
14100
171
331
159
3000
235
345
267
272
482
165
159
821
495
4500
1100
739
111
344
163
270
90
120
612
74
108
185
72
67
422
106
69
608
484
272
77
594
343
667
133
258
170
82
93
120
332
239
527
127
167
911
113
177
303
165
64
284
71
123
203
143
202
73
207
65
90
252
151
95
85
134
81
276
68
88
84
138
329
898
276
542
190
320
234
171
647
643
141
579
177
85
353
178
135
164
80
103
139
1100
68
86
142
123
132
717
236
157
85
76
120
349
138
58
96
183
310
158
74
86
372
283
394
133
52
65
284
364
122
54
80
64
68
783
49
306
1300
206
54
170
197
71
113
113
115
78
240
130
73
259
71
56
54
98
536
128
75
83
212
79
204
152
104
136
102
189
141
55
631
41
340
72
263
181
183
105
128
79
64
117
1400
321
104
77
199
927
57
279
63
147
111
493
445
112
126
141
775
81
154
53
151
300
67
50
141
244
80
85
276
304
71
95
342
53
131
78
89
407
78
98
494
322
137
106
63
389
148
226
551
83
159
224
91
104
226
85
167
1100
225
392
163
135
75
117
71
204
108
442
109
253
415
144
133
77
253
163
54
98
42
82
60
126
181
217
73
495
596
53
0
42
71
74
69
201
162
162
497
98
51
53
168
96
127
293
142
83
192
47
87
133
60
152
146
58
306
946
88
322
60
152
47
137
144
65
243
70
467
96
59
80
86
103
293
92
193
90
399
41
47
312
0
413
59
131
46
58
60
60
922
73
101
159
63
231
101
544
155
90
3500
179
103
136
502
116
50
172
165
53
0
53
306
88
214
66
126
320
58
45
50
392
241
68
36
51
43
173
628
131
155
40
70
40
76
78
59
91
143
1000
122
48
247
173
92
126
173
221
94
164
152
204
243
209
249
40
52
57
90
238
273
69
95
47
38
223
97
470
89
190
40
50
1100
144
35
318
58
103
157
136
93
288
44
67
1500
136
0
130
154
56
92
119
84
149
323
452
84
166
75
385
33
117
132
70
292
181
239
466
123
40
64
37
155
168
59
146
44
102
113
149
42
81
392
35
368
174
1100
205
148
54
33
64
172
109
73
119
96
41
215
87
36
56
221
714
143
107
78
1000
83
45
55
34
126
33
117
88
209
256
65
254
231
92
74
166
242
36
52
140
40
142
75
40
539
70
2600
90
68
396
47
135
223
45
246
59
131
172
42
517
68
495
1300
42
475
677
158
133
640
43
60
53
60
210
115
283
50
151
110
149
40
104
91
114
191
86
97
38
32
58
278
220
52
135
177
103
716
283
136
51
61
57
303
66
441
69
188
172
61
65
56
868
406
42
44
56
36
918
145
31
118
493
285
437
134
60
66
35
91
110
44
47
153
35
33
0
196
67
150
55
98
221
576
59
81
61
30
143
0
91
68
45
70
62
249
40
106
158
69
93
70
63
94
152
407
134
37
67
40
180
88
0
118
816
81
766
340
82
94
50
49
47
129
36
30
372
42
32
135
45
136
394
1600
123
121
46
198
138
241
81
78
104
105
188
35
201
28
430
116
134
122
110
203
0
0
79
185
402
94
79
229
39
39
122
116
38
135
223
34
43
37
24
150
252
129
100
210
56
122
166
57
72
47
440
113
55
121
48
72
185
30
83
92
105
88
75
791
51
90
90
69
746
561
528
69
134
170
451
131
100
136
0
79
66
590
121
358
205
70
0
105
28
214
242
179
395
121
146
168
165
